,Date,Mkt-RF,SMB,HML,RMW,CMA,RF,ADS_Index,SP500,AMERIBOR,T10YIE,T5YIE,BAMLH0A0HYM2,BAMLH0A0HYM2EY,DGS10,DGS1,RIFSPPFAAD90NB,DCPN3M,DCPF1M,DCOILWTICO,DHHNGSP,USRECD,USRECDM,USRECDP
54,3/21/2019,1.11,0.17,-1.23,0.32,-0.34,0.009,-0.37546,2854.88,2.51797,1.96,1.86,3.92,6.33,2.54,2.48,2.5,2.5,,59.98,2.86,0,0,0
55,3/22/2019,-2.17,-1.57,-0.06,0.56,0.6,0.009,-0.383671,2800.71,2.51689,1.9,1.8,4.03,6.37,2.44,2.45,2.32,2.5,,58.87,2.75,0,0,0
56,3/25/2019,-0.05,0.6,-0.27,0.2,0.04,0.009,-0.416084,2798.36,2.52182,1.88,1.77,4.13,6.41,2.43,2.41,2.49,,2.42,58.71,2.72,0,0,0
57,3/26/2019,0.76,0.23,0.46,0.05,0.19,0.009,-0.430113,2818.46,2.51633,1.86,1.75,4.09,6.37,2.41,2.44,2.51,2.47,2.48,59.87,2.74,0,0,0
58,3/27/2019,-0.5,0.17,0.49,0.76,0.1,0.009,-0.445839,2805.37,2.51488,1.84,1.74,4.09,6.33,2.39,2.4,2.51,,2.49,59.39,2.69,0,0,0
59,3/28/2019,0.4,0.35,0.02,-0.13,-0.08,0.009,-0.463266,2815.44,2.51578,1.83,1.72,4.08,6.34,2.39,2.4,2.43,2.47,2.48,59.29,2.69,0,0,0
60,3/29/2019,0.66,-0.28,-0.92,0.21,-0.17,0.009,-0.482401,2834.4,2.51294,1.88,1.78,3.99,6.29,2.41,2.4,2.43,,,60.19,2.73,0,0,0
61,4/1/2019,1.19,-0.19,0.99,-0.06,-0.31,0.01,-0.54978,2867.19,2.51972,1.9,1.82,3.94,6.31,2.49,2.41,2.49,2.5,2.42,61.59,2.73,0,0,0
62,4/2/2019,-0.05,-0.19,-0.44,-0.38,-0.5,0.01,-0.572524,2867.24,2.51234,1.9,1.81,3.95,6.3,2.48,2.41,2.43,2.5,2.38,62.53,2.76,0,0,0
63,4/3/2019,0.27,0.23,-0.39,0.13,-0.4,0.01,-0.594056,2873.4,2.50951,1.91,1.81,3.9,6.28,2.52,2.41,2.53,2.47,2.41,62.46,2.74,0,0,0
64,4/4/2019,0.19,0.35,0.92,0.64,0.22,0.01,-0.614383,2879.39,2.507,1.9,1.81,3.9,6.28,2.51,2.41,2.48,2.47,2.4,62.12,2.66,0,0,0
65,4/5/2019,0.52,0.49,-0.08,-0.28,0.1,0.01,-0.633511,2892.74,2.49192,1.9,1.79,3.86,6.23,2.5,2.43,2.47,2.5,2.41,63.1,2.62,0,0,0
66,4/8/2019,0.08,-0.31,0.1,0.27,-0.03,0.01,-0.683549,2895.77,2.50208,1.91,1.81,3.84,6.23,2.52,2.43,2.47,2.47,2.4,64.37,2.72,0,0,0
67,4/9/2019,-0.65,-0.6,-0.14,0.12,-0.04,0.01,-0.69752,2878.2,2.49779,1.91,1.8,3.86,6.23,2.51,2.42,2.47,2.46,,64.05,2.71,0,0,0
68,4/10/2019,0.48,0.95,-0.1,0.09,-0.11,0.01,-0.710109,2888.21,2.49393,1.94,1.83,3.86,6.21,2.48,2.41,2.46,2.47,2.41,64.62,2.72,0,0,0
69,4/11/2019,0,-0.27,0.41,0.04,0.11,0.01,-0.721321,2888.32,2.47825,1.94,1.82,3.79,6.17,2.51,2.44,2.47,2.46,2.44,63.61,2.72,0,0,0
70,4/12/2019,0.65,-0.36,0.64,0.53,-0.25,0.01,-0.731159,2907.41,2.48483,1.95,1.86,3.68,6.11,2.56,2.44,2.46,,2.46,63.86,2.75,0,0,0
71,4/15/2019,-0.09,-0.26,-0.54,0.36,0.08,0.01,-0.751689,2905.58,2.49745,1.94,1.85,3.68,6.1,2.55,2.43,2.43,2.47,,63.43,2.75,0,0,0
72,4/16/2019,0.13,0.24,0.7,-0.08,-0.13,0.01,-0.75452,2907.06,2.50197,1.96,1.86,3.64,6.09,2.6,2.45,2.47,2.46,2.4,64.01,2.66,0,0,0
73,4/17/2019,-0.32,-0.53,0.83,1.13,-0.27,0.01,-0.755218,2900.45,2.5092,1.94,1.84,3.67,6.12,2.59,2.44,2.47,2.46,,63.74,2.55,0,0,0
74,4/18/2019,0.11,-0.28,-0.51,0.15,-0.21,0.01,-0.753783,2905.03,2.51565,1.95,1.86,3.73,6.14,2.57,2.44,2.45,2.5,2.43,64.02,2.54,0,0,0
75,4/22/2019,0.11,-0.48,-0.55,-0.52,-0.16,0.01,-0.727487,2907.97,2.52338,1.95,1.87,3.73,6.17,2.59,2.46,2.45,2.44,2.42,65.66,2.61,0,0,0
76,4/23/2019,0.97,0.66,-0.48,-0.11,-0.43,0.01,-0.716941,2933.68,2.52743,1.95,1.87,3.72,6.13,2.57,2.43,2.55,2.45,,66.24,2.53,0,0,0
77,4/24/2019,-0.23,0.31,-0.08,0.61,0.03,0.01,-0.705036,2927.25,2.53737,1.96,1.87,3.73,6.1,2.53,2.42,2.46,,,65.96,2.53,0,0,0
78,4/25/2019,-0.14,-0.79,-0.19,-0.64,-0.24,0.01,-0.691767,2926.17,2.54097,1.98,1.86,3.75,6.13,2.54,2.42,2.43,2.48,,65.23,2.54,0,0,0
79,4/26/2019,0.53,0.47,0.07,-0.08,-0.19,0.01,-0.677132,2939.88,2.53545,1.97,1.86,3.76,6.11,2.51,2.41,2.5,2.44,2.43,63.29,2.58,0,0,0
80,4/29/2019,0.18,0.15,0.64,-0.38,-0.15,0.01,-0.62496,2943.03,2.54666,1.96,1.86,3.73,6.1,2.54,2.42,2.44,2.43,2.41,63.39,2.58,0,0,0
81,4/30/2019,-0.04,-0.68,0.28,0.11,0.7,0.01,-0.604773,2945.83,2.54536,1.95,1.85,3.73,6.08,2.51,2.39,2.46,2.43,2.43,63.83,2.59,0,0,0
82,5/1/2019,-0.83,-0.07,-0.02,0.34,-0.06,0.009,-0.583176,2923.73,2.54575,1.93,1.83,3.71,6.08,2.52,2.39,2.46,2.46,2.43,63.55,2.59,0,0,0
83,5/2/2019,-0.16,0.46,-0.27,0,0.05,0.009,-0.56195,2917.52,2.52816,1.89,1.78,3.74,6.15,2.55,2.41,2.45,2.46,,61.75,2.63,0,0,0
84,5/3/2019,1.13,0.94,-0.27,-0.01,-0.34,0.009,-0.541087,2945.64,2.52193,1.91,1.8,3.72,6.11,2.54,2.41,2.44,2.44,2.4,61.98,2.59,0,0,0
85,5/6/2019,-0.39,0.58,-0.42,0.02,0.06,0.009,-0.481145,2932.47,2.51515,1.91,1.81,3.82,6.18,2.51,2.39,2.45,2.46,2.41,62.3,2.54,0,0,0
86,5/7/2019,-1.69,-0.27,0.5,0.02,0.31,0.009,-0.462727,2884.05,2.50824,1.87,1.76,3.89,6.21,2.45,2.37,2.43,2.46,2.4,61.41,2.54,0,0,0
87,5/8/2019,-0.22,-0.21,-0.32,-0.02,0.19,0.009,-0.445169,2879.42,2.50493,1.87,1.75,3.87,6.22,2.49,2.37,2.42,2.42,2.41,62.13,2.64,0,0,0
88,5/9/2019,-0.28,0.06,0.12,-0.35,0,0.009,-0.428464,2870.72,2.49747,1.85,1.73,3.99,6.31,2.45,2.36,2.43,,2.39,61.58,2.62,0,0,0
89,5/10/2019,0.35,-0.33,0.08,-0.11,0.26,0.009,-0.412607,2881.4,2.494633,1.88,1.75,4.01,6.32,2.47,2.36,2.58,,2.46,61.65,2.64,0,0,0
90,5/13/2019,-2.67,-0.67,0.29,0.23,0.83,0.009,-0.369675,2811.87,2.49534771,1.85,1.73,4.2,6.46,2.4,2.32,2.42,2.46,2.42,60.97,2.71,0,0,0
91,5/14/2019,0.93,0.34,-0.02,-0.55,0,0.009,-0.356352,2834.41,2.48531947,1.86,1.75,4.13,6.39,2.42,2.32,2.42,2.45,2.4,61.82,2.7,0,0,0
92,5/15/2019,0.58,-0.1,-0.95,0.13,-0.29,0.009,-0.343449,2850.96,2.48353204,1.83,1.74,4.17,6.39,2.37,2.3,2.39,2.44,2.37,62.03,2.69,0,0,0
93,5/16/2019,0.91,-0.45,-0.32,-0.14,-0.23,0.009,-0.330961,2876.32,2.48507069,1.84,1.75,4.06,6.32,2.4,2.33,2.43,2.42,2.37,62.93,2.62,0,0,0
94,5/17/2019,-0.73,-0.76,0.29,0.06,0.32,0.009,-0.318885,2859.53,2.48581721,1.81,1.71,4.07,6.32,2.39,2.33,2.36,2.43,2.45,62.77,2.61,0,0,0
95,5/20/2019,-0.65,-0.11,0.72,0.06,0.42,0.009,-0.284625,2840.23,2.49489394,1.81,1.71,4.06,6.34,2.41,2.34,2.43,2.42,2.41,63.12,2.7,0,0,0
96,5/21/2019,0.9,0.44,-0.35,-0.13,-0.18,0.009,-0.273234,2864.36,2.49239396,1.83,1.72,3.99,6.29,2.43,2.36,2.43,2.43,2.42,63.02,2.73,0,0,0
97,5/22/2019,-0.4,-0.65,-0.59,-0.15,0.2,0.009,-0.261775,2856.27,2.48627024,1.79,1.68,4.03,6.29,2.39,2.37,2.53,,2.46,61.42,2.73,0,0,0
98,5/23/2019,-1.37,-0.72,-0.27,0.3,0.27,0.009,-0.250244,2822.24,2.49069149,1.73,1.62,4.22,6.37,2.31,2.32,2.47,2.41,,57.65,2.56,0,0,0
99,5/24/2019,0.23,0.51,0.31,-0.5,-0.03,0.009,-0.238637,2826.06,2.48838358,1.76,1.62,4.16,6.35,2.32,2.33,2.39,,2.42,58.4,2.6,0,0,0
100,5/28/2019,-0.78,0.21,-0.63,0.01,-0.26,0.009,-0.192134,2802.39,2.49008357,1.73,1.58,4.19,6.33,2.26,2.31,2.45,2.42,,58.91,2.65,0,0,0
101,5/29/2019,-0.71,-0.24,0.42,-0.18,0.01,0.009,-0.180849,2783.02,2.48636364,1.75,1.59,4.36,6.45,2.25,2.3,2.43,2.41,2.43,58.84,2.69,0,0,0
102,5/30/2019,0.14,-0.38,-0.77,0.26,-0.04,0.009,-0.169717,2788.86,2.48196721,1.74,1.59,4.33,6.42,2.22,2.29,2.4,,2.39,56.47,2.69,0,0,0
103,5/31/2019,-1.37,-0.23,-0.09,0.02,0.4,0.009,-0.158736,2752.06,2.48514321,1.74,1.58,4.59,6.6,2.14,2.21,2.39,2.41,,53.49,2.59,0,0,0
104,6/3/2019,-0.4,0.58,1.65,0.28,1.39,0.009,-0.128721,2744.45,2.45833333,1.73,1.56,4.7,6.63,2.07,2.11,2.39,2.39,2.39,53.25,2.5,0,0,0
105,6/4/2019,2.33,0.49,-0.02,0.29,-0.47,0.009,-0.120312,2803.27,2.45979757,1.74,1.59,4.53,6.49,2.12,2.11,2.38,2.36,2.41,53.5,2.45,0,0,0
106,6/5/2019,0.7,-1.06,-0.97,0.06,-0.2,0.009,-0.112686,2826.15,2.4333945,1.75,1.59,4.48,6.43,2.12,2.04,2.33,2.36,2.36,51.57,2.45,0,0,0
107,6/6/2019,0.55,-1.08,0.01,0.06,-0.07,0.009,-0.105841,2843.49,2.44244898,1.73,1.58,4.42,6.39,2.12,2.02,2.33,2.37,2.33,52.59,2.4,0,0,0
108,6/7/2019,1.04,-0.14,-1.2,0.35,-0.65,0.009,-0.099776,2873.34,2.44391892,1.74,1.61,4.37,6.3,2.09,1.97,2.33,,2.39,53.95,2.43,0,0,0
109,6/10/2019,0.53,0.01,0.08,0.39,-0.36,0.009,-0.0867286,2886.73,2.42913978,1.73,1.6,4.23,6.21,2.15,2.03,2.32,,2.36,53.33,2.42,0,0,0
110,6/11/2019,-0.12,-0.2,0.55,0.47,0.18,0.009,-0.084747,2885.72,2.42954597,1.72,1.57,4.2,6.18,2.15,2.05,2.36,2.29,,53.3,2.41,0,0,0
111,6/12/2019,-0.2,0.29,-0.98,0.06,0.1,0.009,-0.0840298,2879.84,2.43234967,1.71,1.53,4.22,6.19,2.13,2.02,2.3,,2.32,51.13,2.43,0,0,0
112,6/13/2019,0.52,0.68,-0.04,-0.12,-0.06,0.009,-0.0845767,2891.64,2.42219756,1.68,1.51,4.24,6.15,2.1,2,2.31,2.33,2.34,52.38,2.43,0,0,0
113,6/14/2019,-0.27,-0.74,0.31,0.25,0.14,0.009,-0.086388,2886.98,2.42373004,1.63,1.48,4.23,6.15,2.09,2,2.31,2.3,2.32,52.47,2.37,0,0,0
114,6/17/2019,0.15,0.48,-1.12,-0.67,-0.43,0.009,-0.0987031,2889.67,2.41837931,1.61,1.45,4.23,6.15,2.09,2.03,2.3,2.32,2.33,51.94,2.46,0,0,0
115,6/18/2019,1.04,0.19,0.33,-0.25,-0.19,0.009,-0.104156,2917.75,2.41991039,1.64,1.49,4.14,6.05,2.06,2.04,2.28,2.32,2.32,53.86,2.44,0,0,0
116,6/19/2019,0.32,0.02,-0.6,-0.2,0.17,0.009,-0.110167,2926.46,2.4167052,1.67,1.53,4.16,6.01,2.03,1.96,2.29,,2.34,53.74,2.43,0,0,0
117,6/20/2019,0.89,-0.4,-0.23,-0.15,-0.11,0.009,-0.116739,2954.18,2.416157,1.74,1.58,4.03,5.85,2.01,1.91,2.28,2.24,2.32,56.88,2.38,0,0,0
118,6/21/2019,-0.21,-0.46,-0.04,-0.11,0.02,0.009,-0.123872,2950.46,2.41684874,1.73,1.6,3.95,5.83,2.07,1.95,2.26,2.23,2.38,57.35,2.27,0,0,0
119,6/24/2019,-0.34,-0.9,0.08,0.64,-0.02,0.009,-0.149162,2945.35,2.42040107,1.71,1.57,4,5.83,2.02,1.92,2.27,2.27,2.34,57.73,2.31,0,0,0
